Time	Exact_Real	VQTE_Real
0.587000	0.452220	0.452379
0.588000	0.452411	0.452570
0.589000	0.452601	0.452759
0.590000	0.452790	0.452948
0.591000	0.452978	0.453136
0.592000	0.453166	0.453324
0.593000	0.453353	0.453511
0.594000	0.453539	0.453696
0.595000	0.453725	0.453882
0.596000	0.453909	0.454066
0.597000	0.454093	0.454250
0.598000	0.454277	0.454433
0.599000	0.454459	0.454615
0.600000	0.454641	0.454797
0.601000	0.454822	0.454977
0.602000	0.455002	0.455158
0.603000	0.455182	0.455337
0.604000	0.455361	0.455516
0.605000	0.455539	0.455694
0.606000	0.455717	0.455871
0.607000	0.455893	0.456047
0.608000	0.456070	0.456223
0.609000	0.456245	0.456398
0.610000	0.456420	0.456573
0.611000	0.456594	0.456746
0.612000	0.456767	0.456919
0.613000	0.456939	0.457092
0.614000	0.457111	0.457263
0.615000	0.457283	0.457434
0.616000	0.457453	0.457604
0.617000	0.457623	0.457774
0.618000	0.457792	0.457943
0.619000	0.457961	0.458111
0.620000	0.458128	0.458279
0.621000	0.458296	0.458446
0.622000	0.458462	0.458612
0.623000	0.458628	0.458777
0.624000	0.458793	0.458942
0.625000	0.458958	0.459106
0.626000	0.459121	0.459270
0.627000	0.459285	0.459433
0.628000	0.459447	0.459595
0.629000	0.459609	0.459757
0.630000	0.459770	0.459918
0.631000	0.459931	0.460078
0.632000	0.460091	0.460238
0.633000	0.460250	0.460397
0.634000	0.460409	0.460555
0.635000	0.460567	0.460713
0.636000	0.460724	0.460870
0.637000	0.460881	0.461027
0.638000	0.461037	0.461183
0.639000	0.461193	0.461338
0.640000	0.461348	0.461492
0.641000	0.461502	0.461646
0.642000	0.461656	0.461800
0.643000	0.461809	0.461953
0.644000	0.461961	0.462105
0.645000	0.462113	0.462256
0.646000	0.462264	0.462407
0.647000	0.462415	0.462558
0.648000	0.462565	0.462708
0.649000	0.462714	0.462857
0.650000	0.462863	0.463005
0.651000	0.463011	0.463153
0.652000	0.463159	0.463301
0.653000	0.463306	0.463447
0.654000	0.463453	0.463594
0.655000	0.463599	0.463739
0.656000	0.463744	0.463884
0.657000	0.463889	0.464029
0.658000	0.464033	0.464173
0.659000	0.464176	0.464316
